Pitcher,PitcherThrows,PitcherTeam,TaggedPitchType,n,dre_hat_mean,run_suppress_mean,StuffPlus_mean,StuffPlus_median,RV,RelSpeed_mean,SpinRate_mean,spinDir_mean,RelHeight_mean,RelSide_mean,Extension_mean,InducedVertBreak_mean,HorzBreak_mean,delta_velo_mean,delta_IVB_mean,delta_HB_mean,RV/100,SwStr%
"Hayes, Terry",Right,OLE_REB,ChangeUp,52,-0.005885054647268215,0.005885054647268215,92.20992775361604,94.51572327796092,2.6079999999999997,84.66425480769232,1673.151579,222.73344326923078,6.571902884615384,1.507161346153846,5.583774230769231,12.935783269230768,10.802981346153846,-7.0308651923076955,-5.771606730769231,5.478746346153846,5.015384615384614,19.230769230769234
"Hayes, Terry",Right,OLE_REB,Curveball,53,-0.00784580855529631,0.00784580855529631,78.7733398398353,77.66502559405616,6.004,76.44077226415094,2442.168541509434,24.174173981132075,6.628417358490567,1.3285086792452832,5.1651952830188685,-13.357986603773586,-6.720255660377358,-15.254347735849057,-32.065376603773586,-12.04449066037736,11.328301886792453,16.9811320754717
"Hayes, Terry",Right,OLE_REB,Cutter,169,-0.017469121712237065,0.017469121712237065,123.0508830509854,122.44426529052372,15.469,85.40191319526627,2320.249644260355,140.6741518284024,6.5450275147929,1.409622899408284,5.550291656804734,5.514415621301775,-3.7055121301775147,-6.293206804733731,-13.192974378698224,-9.029747130177514,9.153254437869823,12.42603550295858
"Hayes, Terry",Right,OLE_REB,Fastball,280,-0.011345282255669735,0.011345282255669735,81.75795613875569,81.69399993669967,23.217,91.87853921428571,2165.766235410714,197.57861325357143,6.637823071428571,1.194058892857143,5.866218602150538,18.679544071428573,5.588842071428572,,,,8.291785714285714,9.285714285714286
"Hayes, Terry",Right,OLE_REB,Slider,66,-0.012344509274062526,0.012344509274062526,99.47217944119834,96.40626192323367,3.4029999999999996,80.34389393939394,2365.2264012121213,83.91617287878788,6.509287575757575,1.5240610606060607,5.30357803030303,0.2049272727272728,-8.949870454545454,-11.351226060606065,-18.50246272727273,-14.274105454545454,5.156060606060605,12.121212121212121
"Hooks, Walker",Left,OLE_REB,All,645,-0.01158513990067485,0.01158513990067485,95.4612113707119,95.94965053327408,36.934999999999995,84.72079086673165,1956.915223201402,159.57112785426358,6.142590084487955,-1.8106185611155468,6.889613829594702,8.23318160748271,-6.990890621918953,-6.92687199500754,-12.65489143807739,-5.706665669589915,5.7263565891472865,17.674418604651162
"Hooks, Walker",Left,OLE_REB,ChangeUp,193,-0.004860274910702922,0.004860274910702922,87.90917431781041,94.89319759210697,10.828,82.67428031088083,1523.6187276683938,100.90652972020725,6.005145041290578,-1.8070592502435434,7.1367413488461695,3.4445602590673574,-13.383877357512954,-6.380294689119172,-12.867984740932643,2.8156473575129533,5.610362694300518,28.497409326424872
"Hooks, Walker",Left,OLE_REB,Curveball,48,-0.005865428451162088,0.005865428451162088,69.66147117201982,68.11468591726718,5.640999999999999,75.121615625,2143.4120155416667,311.3116801666667,6.32818370781501,-1.6663135324680987,6.647433508268251,-3.9004902083333337,5.852429791666666,-13.932959375000001,-20.213035208333334,-16.420659791666665,11.752083333333331,8.333333333333332
"Hooks, Walker",Left,OLE_REB,Fastball,232,-0.01527348264308079,0.01527348264308079,92.80547742700068,90.15045124443166,9.861999999999998,89.26105004310345,2131.659580866379,144.94809363793104,6.225436113513054,-1.8143762006009818,6.868013328410104,16.261443448275863,-10.638232155172414,,,,4.2508620689655165,9.913793103448276
"Hooks, Walker",Left,OLE_REB,Sinker,4,-0.014451047445541026,0.014451047445541026,90.49249197388058,93.22152987993434,0.94,86.5289925,1912.2627725,123.9825025,6.031595,-2.3920675,7.3492925,10.4417375,-13.168695,,,,23.5,0.0
"Hooks, Walker",Left,OLE_REB,Slider,168,-0.0157832705329579,0.0157832705329579,115.29416275925675,116.7423382735261,9.664,83.50152904191616,2161.1550829041917,204.65219552380955,6.13569782866369,-1.8369043959799247,6.69379029269793,6.061926826347305,1.8678088622754492,-5.553045958083833,-10.250618173652693,-12.43603886227545,5.7523809523809515,19.047619047619047
"Ilitch, Blake",Right,OLE_REB,All,318,-0.010739087418639302,0.010739087418639302,88.39094741242104,82.98077905619638,37.16,83.6740648427673,2203.8102933867926,129.07485229559748,5.964689245283019,1.5537969182389937,6.165500697686814,3.151817075471698,-0.08733613207547168,-11.198390404040394,-18.433469292929292,-12.885747424242425,11.685534591194967,11.635220125786164
"Ilitch, Blake",Right,OLE_REB,ChangeUp,3,0.00199077008313476,-0.00199077008313476,59.156990560877595,70.2344922923512,1.925,85.52004666666666,1529.6353186666668,222.66946900000002,5.943433333333334,1.3805966666666667,6.010666666666666,13.471553333333333,10.841226666666666,-5.11718333333332,-1.217531666666665,2.8756316666666666,64.16666666666667,0.0
"Ilitch, Blake",Right,OLE_REB,Curveball,67,-0.008729993192767741,0.008729993192767741,82.84153577753479,82.52436530814174,6.103999999999999,75.29177223880598,2385.405946373134,24.54423067164179,6.029638805970149,1.5315041791044777,5.878246417910447,-15.972163134328357,-8.104032686567164,-15.345457761194018,-30.661248134328357,-16.069627686567163,9.11044776119403,7.462686567164178
"Ilitch, Blake",Right,OLE_REB,Cutter,128,-0.012928052230274656,0.012928052230274656,102.1571017790534,110.86728192193114,10.495999999999999,81.467041875,2219.7034216015627,105.891515484375,6.034291171875,1.601406328125,6.111771875,2.25259515625,-3.622997421875,-9.170188124999989,-12.43648984375,-11.588592421875001,8.2,17.96875
